Tweet,Rating
Kolonialismus und Klimakrise - ein untrennbarer Zusammenhang! #decolonizeclimatecrisis #decolonizeclimateaction #decolonize https://t.co/UsQp0LCO06,1.0
"Ein Teil des Löschwassers verdunstet, bevor es die Flammen erreicht. 
Peak #Klimakrise. https://t.co/Q4NBkeIFCT",1.0
"56°, Waldbrände, Dürren, Stromausfälle durch Überlastung, Klimakrise eskaliert.

CDU so: jo, lass mal Windräder verbieten. Kohle ist der geile shice.

#cduverhindern #CDUrausausderRegierung 
#LaschetVerhindern https://t.co/tprXs8RFMQ",1.0
"Journalismus trägt Verantwortung.

Bisher ist er Teil des strukturellen Problems der Klimakrise. Um sie zu stoppen, muss auch der Journalismus sich ändern. Es braucht eine #MedienKlimawende.",1.0
"Wenn mehr Redakteur:innen klar wäre, was für Auswirkungen die Klimakrise heute schon hat und wie schnell sie dramatischere haben wird.

Die Klimakrise ist Top News, nach ganz normalen journalistischen Kriterien. Was fehlt, ist das Wissen - oder Bewusstsein - dafür.",1.0
"Wenn ich sagen, die #Klimakrise muss auf die Titelseiten und überall mitgedacht werden. Dann meine ich nicht: eigentlich. Oder: theoretisch.

Sondern: Sie wäre auf allen Titelseiten, sie würde überall mitgedacht werden - wenn mehr Journalist:innen wüssten, wie akut sie ist.",1.0
@VincentvdE @EichholtzAlex Wovon redest du? Klimawandel oder Landwirtschaft?,1.0
"Konflikte steigern Armut. 
Konflikte schwächen Infrastrukturen. 
Konflikte zerstören Lebensgrundlagen.

Durch den Klimawandel wird all dies noch verschärft: https://t.co/0rdcJuPFnv",1.0
"@AnnaEmmend Das gilt für mich nicht mehr. Es wird Zeit,  sich der Realität zu stellen und die vorhandenen Risiken, Klimawandel vs AK, gegeneinander abzuwägen.",1.0
"@aberabe34861088 @campact @AmadeuAntonio @_Seebruecke_ @seaeyeorg @ISDBund @Volksverpetzer @Unteilbar_ @lautgegennazis Ihre Meinung.

Wahrscheinlich leugnen Sie, dass der Mensch den Klimawandel aufhalten kann? Sie stehen auf Braukohletagebaue und SUV-zugeparkte Innenstädte, in denen nur Besserverdienende wohnen können? 🙂",1.0
@HHeartOfGold @campact @AmadeuAntonio @_Seebruecke_ @seaeyeorg @ISDBund @Volksverpetzer @Unteilbar_ @lautgegennazis Der Klimawandel macht mir genau so große Sorgen wie die aktuellen Migrationspolitik  im Hinblick auf unsere Kinder und Generationen! Aber es bewegt sich ja einiges in die richtige Richtung … 🕊👍🏻🙏🍀✈️,1.0
"@sspdw @welt Um den Klimawandel zu stoppen müssen drastische Änderungen her. Verzicht wird da eine wichtige Rolle spielen. Natürlich muss niemand in eine Höhle. Zumindest solange wir es noch rechtzeitig geschissen bekommen, was bereits zweifelhaft ist",2.0
Bei Hitze sinkt der IQ um bis zu 40 Punkte. Der Klimawandel wird uns also immer weiter verblöden. Das gleiche Prinzip wie beim Internet.,1.0
"#Klimawandel in NRW: ""Die Niederschläge werden extremer"" https://t.co/AXQFVFKlo9 via @wdr",1.0
"@aberabe34861088 @campact @AmadeuAntonio @_Seebruecke_ @seaeyeorg @ISDBund @Volksverpetzer @Unteilbar_ @lautgegennazis Weil Sie sich anscheinend in Zusammenhang mit dem Grenzschutz Sorgen um die innere Sicherheit machen.

Machen Ihnen Klimawandel, soziale Spaltung, staatliche Überwachung (Stichwort Staatstrojaner) oder Medienkontrolle (um ein paar Beispiele zu nennen) tatsächlich weniger Sorgen?",1.0
@rhorykhaz Warum? Ich leugne schließlich den Klimawandel nicht. Ich halte ihn bloß in galaktischen Maßstäben gedacht für nicht relevant und die Menschheit für eine parasitäre Spezies.,2.0
"Die neue Zehntages-Vorhersage für die akkumulierte Regensumme durch das @ecmwf.

In der #Klimakrise mit steigenden Temperaturen wird auf die Lange Strecke eher zu viel als zu wenig Wasser das grössere Problem werden.

https://t.co/6z1g5q5KLd

1/",1.0
"@rosenbaumg0 Ja, die Berichterstattung in der Heute-Sendung heute war angemessen – im Gegensatz zu sonst häufig. Bei Corona hatten wir regelmäßig Spezialsendungen, in denen Wissen verbreitet und für Verständnis für Maßnahmen geworben wurde. 
Das Fehlt in der Klimakrise.
Deswegen #KlimaVor8",1.0
"@MalteKaufmann @SchwarzeHexe5 AfD Parteitag im Death Valley abhalten, es gibt keinen Klimawandel!",1.0
"Wie kann man in dieser Bedingung schlafen?
#Klimakrise https://t.co/xWd9CcNCym",1.0
"Durch Verknappung der Güter,  kann man Gewinne maximieren. 

#Klimawandel liegt also im Interesse des Kapitalismus.  

#LaschetLuegt #FDP #LaschetVerhindern",1.0
"Endlich. @WDRaktuell. Endlich. Zum allerersten Mal eine priorisierte Nachricht zur #Klimakrise. Liegt das daran, dass es in den nächsten Tagen sehr regnerisch wird? Nur heißt es bei euch immer noch #Klimawandel. #KlimakriseISTjetzt 

https://t.co/pOMXFtPfTI",1.0
"Passt auf, wenn wir noch Hitze im August kriegen ist er wieder on Top.
Jedes Wetter ist mittlerweile Klimawandel
🙈 https://t.co/ZvwHq1KP5T",1.0
"@Hoellenaufsicht Die laufen sich schon warm für den #Klimawandel, den sie nicht als ihr Problem betrachten. 
Wie ein Großteil unserer Gerontengesellschaft.",1.0
"@Pader_Wahn @HenrikHoffmann1 @hubbl7 @JGemassmer @FridayForFuture @parents4future @micha_bloss @sixtus @M_Hundhausen @Luisamneubauer @VQuaschning BImSchG ist eine sinnvolle Regelung.
Niemand will WEA zum Spaß bauen. Wir brauchen die Windenergie gegen den Klimawandel. Dafür müssen Kompromisse gefunden werden.",1.0
"@MoriMori_Sky91 @Shurjoka Ja und das ist nunmal Rassismus und Menschenhass! Klar sind wir in der priviligierten Position, dass uns der Klimawandel wohl eher zuletzt trifft, aber was haben wir dafür konkret getan. Also ich kann mich nicht erinnern dass ich mich aktiv entschieden habe in DT geboren zu",1.0
"@_FriedrichMerz, @ArminLaschet, @c_lindner nur kein Eile mit Maßnahmen gegen die Klimakrise. Kollektives Warten auf Wasserstoff bis 2050, bloß nichts sofort tun. https://t.co/uKldyPELOk",2.0
"@rendiwagner bei #Puls24 bzw, #Puls4: ""Die Autos sind ja da"".
Die Aufgabe einer Partei, die ernst- &amp; glaubhaft gegen die #Klimakrise kämpft, wäre, für weniger Autos zu sorgen. 
PS: Nein, die Lobauautobahn ist nicht als Entlastung der Praterstraße gedacht.",1.0
"So, nach 25 Minuten Zeit für Migration haben wir die Klimakrise jetzt nach 3 Minuten durchdiskutiert. Interessante Gewichtung bei den Sommergesprächen, @puls24news #puls24",1.0
"@SusScro58355800 @alain_berset Stichwort Politikverdrossenheit? Ich kann das verstehen. Aber es gibt auch noch andere Themen als die Pandemie. Und da sind schon klare Bekenntnisse und Positionen da. Wenn wir über Klimakrise oder Gleichstellung nachdenken zBsp wird das Bild für mich wieder klarer, @spschweiz",1.0
"Die Frage, die jeder für sich beantworten sollte: Möchte ich mehr Klimaschutz, oder mehr Klimakrise?
Denkt an eure Kinder, Enkelkinder, Kinder eurer Nachbarn, oder einfach an euer eigenes Leben. #Klimakrise",1.0
"Klimakrise ist eine der großen Herausforderungen unserer Zeit. Klimaschutz muss sozial gerecht ausgestattet sein &amp; die Lebensrealitäten der Menschen im Blick haben. Nicht alle Menschen in 🇦🇹 wohnen an einer U-Bahn-Haltestelle, viele sind aufs Auto angewiesen. #puls24 @rendiwagner",1.0
"Nach 70 Jahren Wohlstand, Frieden und Freiheit hat unsere Gesellschaft es verlernt, Krisen durch Solidarität zu meistern. 

Finanzkrise =&gt; Geld Drucken.
Infektionskrankheiten =&gt; Durchseuchen.
Klimakrise ? =&gt; vergiss es.

Ein hedonistischer Tanz auf dem Narrenschiff. https://t.co/BF0xTR9A2j",1.0
"• Lebensfeindliche Hitze in Spanien (48 Grad) und den USA (54 Grad). In Deutschland Starkregen und Überschwemmungen. Der Klimawandel macht das Wetter extremer - auch in NRW. WDR-Interview mit Klimaforscher Mojib Latif. 

 https://t.co/OwLu1BFIjq",1.0
"Leute, 42 Grad nachts!! 
Und das ist erst der Anfang. Wenn iwelche-Kurven-Laschet und seine Opus Dei Kameraden ins Kanzleramt einziehen, wird die #Klimakrise weitere 4 Jahre befeuert! #LaschetVerhindern https://t.co/fwwHWazQdi",1.0
"@aktuelle_stunde Also ist doch die Kohle schuld. Als Kind habe ich gelernt, dass die Kohlekraftwerke die Wolken machen! #LaschetLuegt #Klimakrise #btw21 #LaschetVerhindern",1.0
"@clasavie Das hat kaum jemand auf dem Schirm. Versicherungen sind gute Indikatoren für aktuelle Risiken. Im großen Stil war das schon beim Klimawandel so, da warnten schon vor 30 Jahren die Rückversicherer vor den wirtschaftl. Risiken des Klimawandels...",1.0
"„Während die USA und Westeuropa also daheim vom #GGND reden, richten sie in Afrika Tod und Verheerung an, um dieses Ziel zu erreichen.“

https://t.co/mQlmkysdhE

#greennewdeal #nigeria #klimagerechtigkeit #klimakrise #klimalistebw @klimaliste",1.0
"Immerhin der Sendung kam der Hinweis, dass die Hitzewelle mit der Erderhitzung (dort beschönigend als Klimawandel bezeichnet) zusammenhängt. Im Tweet fehlt der Hinweis. 
#KlimaVor8 
#KlimakriseISTjetzt
#UprootTheSystem https://t.co/0krrj4ueEd",1.0
"@srfnews Pandemie, Klimawandel, Armut und Hunger: Alles hängt mit allem zusammen.. https://t.co/vWGifSbCcj",1.0
"„Wir regieren NRW so, wie ich es mir auch für den Bund vorstellen würde,“ so Armin #Laschet. Hier kann man nachlesen, wie seine #Energie- und #Klima Politik in #NRW aussieht #Klimaschutz #Klimakrise #KlimakriseISTjetzt https://t.co/sAsJV4oIMS",1.0
"Deutschland: Halten Straßen und Schienen dem Klimawandel stand?

Sommerliche Hitzewellen mehren sich, die hohen Temperaturen werden zum Risiko für die Infrastruktur. Noch sind Straßen und Schienen künftigen Heiß-Perioden kaum gewachsen. Doch I ...

https://t.co/smqzTslJ6V",1.0
"Hamburg wird @Die_Gruenen wählen. Ich hoffe auf einen Sieg vor der @spdhh für Hamburg und ein möglichst gutes Gesamtergebnis Bundesweit, damit es für eine Koalition unter grüner Kanzlerschaft reicht. Deutschland braucht einen Umschwung um dem #Klimawandel zu strotzen! https://t.co/XgCFssgER7",1.0
Infrastruktur in der Hitze: So wappnet Deutschland seine Straßen und Schienen gegen die Klimakrise https://t.co/5CTiKfY74O via @derspiegel,1.0
"@SZ Tipp für Corona- und Klimawandel-Leugner: Das wird zu Flüchtlingswellen führen, wie sie die Welt noch nicht gesehen hat. 
Vielleicht doch keine so schlechte Idee, was gegen die Ursachen zu tun.",1.0
"@OxKing Naja, wir haben hier ein wenig Tiedenhub am See. Aber Klimawandel halt. Aber ist noch nicht so schlimm wie 2019, da stand der Steg fast trocken.",1.0
"@aktuelle_stunde Herr #MojibLatif ist einer der anerkanntesten #Klimaforscher hier in Deutschland, #Klimawandel ist real, ist in vollem Gange und schuld sind WIR Menschen, zumindest zum größten Teil. Es ist leider bereits ""5 nach 12"". Bleibt alle gesund im ""wilden Westen"".
😮😮😮😷😷😷💖💖💖",1.0
"@S1702026711 Bill Gates und alle großen Kapitalisten sind groß in Uranium investiert. Es werden Atomkraftwerke ohne Ende gebaut und offiziell verkündet, dass dies die Klimawandel Lösung ist. Mach Dich mal schlau Du Geisteskranker.",1.0
"@Fischblog Hab vor 20 Jahren meinen Eltern das mit dem Klimawandel so erklärt:
Ist einfach richtig dumm, wenn man von Getrieben nicht den leisesten Schimmer hat, in einem gut laufenden einfach mal wahllos an mehreren Schrauben zu drehen und zu erwarten, dass es danach immer noch rund läuft.",1.0
"Wusstet ihr das es mega heiss unter schutzausrüstung ist, dachte vorhin einmal kurz unter ffp2 und faceshild das ich sterben muss weil kaum Luft Freu mich schon so in 5 Jahren wenn wir dank Klimawandel standartmassig 40° von April-Sept haben und die 430 Covidwelle da ist",1.0
"Wie hart trifft der Klimawandel die Metropolregion Rhein-Neckar? Erstmals beleuchtet eine Auswertung von Daten die Folgen auf der Ebene von 401 Städten und Landkreisen in Deutschland. Schnee wird noch seltener. [€]
https://t.co/Nc5Xwu2GQO",1.0
"@shoutingcassy @kkklawitter Nicht ich will anderen etwas vorschreiben. Die Klimakrise zwingt uns alle zum Handeln. Wenn Sie das noch nicht verstanden haben, brauchen wir nicht weiter zu diskutieren. Die Zeit für eine Umkehr rinnt uns durch die Finger, während der MIV wortreich verteidigt wird. Warum?",1.0
@herr_o Würde Klimaschutz statt Klimawandel schreiben dann passt noch bisschen besser aber ja,1.0
"Es ist bestimmt nur Zufall, dass #ChristineStrobl, die neue Chefin der #ARD, ganz nebenbei die Ehefrau von Thomas #Strobl &amp; Tochter von Wolfgang #Schäuble ist.
@ARD_Presse #BTW21
#ÖRR hin oder her: Hauptsache das Wahlvolk schläft durch die #Klimakrise!
#ReichenUnion
#LaschetLuegt https://t.co/wLaKAHqqRh https://t.co/1VemHIhcC1",1.0
"""Warum Muslime schuld am Klimawandel sind."" Und: ""Islam macht dick"". Eine sehr schöne Analyse von @SZekri https://t.co/ylwwcNS1Vu",1.0
Deutschland: Halten Straßen und Schienen dem Klimawandel stand? https://t.co/e8tkT0OMs4,0.0
"Starkregen, Tornado: Physiker erklärt Unwetter-Phänomen – seine Aussichten sind düster. #Klimawandel als Ursache (via @express24) https://t.co/iHw3r4xZpu",1.0
"Da hat echt wer gedacht ""Ich mach nen Film, wo der Klimawandel weggeballert wird.""

#TomorrowWar",1.0
Solange wir die Klimakrise nicht als Krise behandeln gibt es kein „Neues Normal“ - es wird immer NOCH schlimmer!! https://t.co/ScQ8MuHHod,2.0
"Hört sich eigentlich gut an oder auch nicht so, aber naja es gibt sogar noch den #Blauglockenbaum oder den #Götterbaum(auch #Honig) die man gezielt anpflanzen kann!
Mit allerdings auch Bäumen für Tiere!
&gt; #Klimawandel lässt Bäume schneller wachsen
via @sz https://t.co/MUmpHd4EWt",1.0
"@Michael92396934 @OliG_LE @JKasek Ja, bitte mal bei seriösen Quellen (z.B. PIK) informieren, wie gut wir als Menschheit mit dem aktuell fortschreitende Klimawandel zu Recht kommen werden, wenn es so weiter geht. Mit Ignoranz geht's jedenfalls Richtug Katastrophe.",1.0
"@EduardStaudt Nein. #AfD leugnet den menschengemachten #Klimawandel und wird die Maßnahmen dagegen stoppen. Und heißt der letze Satz: Hunger ist prima, da bleiben die Leute daheim, oder wie?!?",1.0
"@ThomasKnorra Pandemie, Klimawandel, Armut und Hunger: Alles hängt mit allem zusammen... https://t.co/vWGifSbCcj",1.0
"Nach 2020 wohl schon wieder ein neuer globaler #Hitzerekord mit 54,4 und einer unglaublichen TagesTIEFSTtemperatur von 42 (!) Grad. Während #Kalifornien wieder brennt, rollt auf Europa gerade die nächste, die x-te Starkregenwelle zu #KlimakriseISTjetzt #Klimakrise #Klimaschutz https://t.co/T5DV9XjWXP",1.0
"@Rocky_OL @PeterBa84734077 @EugenHani Pandemie, Klimawandel, Armut und Hunger: Alles hängt mit allem zusammen... https://t.co/vWGifSbCcj",1.0
"@Naku64 @sus_oe @wibramuc @Claudia77383293 @SabinePonwenger @Glonntaler @nimmdenbus @trebbianos @Michael_Jahn_GB @50lilli @AndreasBovensc1 @CDU @HGMaassen @_FriedrichMerz @CorinnaVahrenk1 @blum_marianne @lgbeutin @DKrappe @elgrunwald @pansensmoothie @AvEinem @steinhoff_uwe @MariaStrunz @fujosati @goia @lange_tobias_hh @hajo_schiffer @KonstantinNotz Ichweiss, das dumme, es gibt keine Rausragende Politik-Eule, Der ich etwas zutraue! Denn die Grünen in BW, o NRW, sind auch zahme Kapitalisten geworden! Eigentlich traue ich keinen von Denen zu, das der, Klimawandel endlich angepackt wird, ist doch zu sehen, wieNötig das wäre!",1.0
"@iammteah @merkaii @inesschwerdtner @derfreitag Ein einziger Zirkelschluss. Der Kapitalismus wird abgelehnt mit der Begründung, er sei ursächlich für die Klimakrise, weshalb eine Lösung der Klimakrise nur ohne Kapitalismus funktioniere. Das ist aber völlig unbelegt und eine Alternative wird gar nicht aufgezeigt.",1.0
@silv_den_ @OrthoDel Der Klimawandel sorgt für mildere Winter. Immer auf das Gesamtpaket achten! ☝,1.0
@georgrestle @ard Erwachsenenbildung ist ein Schlüssel in der Bekämpfung der #Klimakrise. Bitte macht diesen Fehler nicht.,1.0
"Die Meeressäuger sind natürliche Klimaschützer. Dabei helfen auch ihre Ausscheidungen, erklärt der Biologe Morten Iversen. #Klimakrise https://t.co/XDCWu2Kd4M",1.0
"""Das Problem mit dummen Menschen ist, 
dass sie oft zu dumm sind, selbst zu erkennen,
dass sie dumm sind. ( John Cleese)""
#AFD #Sachsen #Urban #Klimawandel https://t.co/30Y162B79W",1.0
"@Schnacker4 Nix negatives über die Grünen, nicht generell. Den Redakteur:innenx sollte halt klar sein, dass die Klimakrise uns umso härter treffen wird, wenn sie nicht Kanzlerin wird. Dieses zwanghafte Pochen auf Pressefreiheit wird unseren Planeten nicht retten.",1.0
@twisser @ZDFheute Schreibt sogar n-TV und die sind nicht gerade Klimawandel freundlich. https://t.co/l9Vfn95Tta,1.0
"✍️ am 26. September 2021 #LaschetVerhindern! 

- denn sonst werden #Dauerregen, #Polizeigewalt &amp; #Tornados nur ein Vorgeschmack auf die erzkatholische #Laschetworld sein, die der #Klimakataklysmus von #ReichenUnion, #AFDP &amp; #OpusDei bringen wird!
#LaschetLuegt 
#Klimakrise
#BTW21 https://t.co/i7ODQmbNlu",1.0
"Wie viele andre Medien, u.a. @euronewsde @derspiegel @Tagesspiegel etc., berichtete die #ARD über den Testflug #VSSUnity v. Branson... aber der  #ÖRR bekommt #Rundfunkbeitrag , weil er MEHR können soll...kann er aber nicht:
KEIN WORT zur #Klimakrise dabei!
https://t.co/kYgJIx61wi",1.0
"➦ Biologe über Artensterben und Klimakrise: „Walkot hilft dem Klima“

» Die Meeressäuger sind natürliche Klimaschützer. Dabei helfen auch ihre Ausscheidungen, erklärt der Biologe Morten Iversen. mehr...
 
  https://t.co/UMCr9hi3fD",1.0
"klimawandel: tötet die erde
erde: blutet
udo jürgens: 💦😛",1.0
"Pflanzt mehr Bäume, statt sie abzuholzen. #Klimawandel",1.0
"@ThomasWalach @BarbaraRuhsmann @ManuelGrebe Autobahn für LKW, ist ja auch geplant. Es muss ein anderer Weg eingeschlagen werden, Klimakrise kann nicht negiert werden. Es geht nicht, dass 1 Person/Auto durch d Stadt fährt. Anreiz für Fahrgemeinschaften, keine Strafen. Es fehlt an Innovationen.",2.0
"@horstiamhandy Ich war selten wütender als gestern. Das meer hat gebrannt. Der klimawandel ist allen scheissegal. Wir diskutieren übers tempolimit und dann fliegen reiche ins all anstatt die welt zu erhalten, was ist los?",1.0
@BertiH0F Die Bevölkerungsexplosion hat natürlich auch nichts mit dem Klimawandel zu tun,1.0
"Auf die Idee das der Klimawandel mit der explodierenden Weltbevölkerung zu tun haben könnte, kommen die Grünen Weltverbesserer nicht. https://t.co/UdI23aFux8",1.0
"@MarionaMarione @FahrradFriese @larsweisbrod Was ein Quatsch.

Das ist so auf dem Logik-Niveau von:

Heute ist es aber kalt, gibt wohl doch kein Klimawandel

Oder

Lol guck wie flach das Wasser ist, die Erde ist eine Scheibe.

Absolut lächerlich.",1.0
"@_LarsPetersen @Volksverpetzer @ArminLaschet @Josh_Groeneveld @JoanaAvion Söder umarmt ja immerhin stehende Bäume. #Laschet tätschelt gefälltes Holz. Genauso geht er mit der Klimakrise um: Erst (be)greifen, wenn es zu spät ist. Nein, so wird das nix.",1.0
"@Gert_Woellmann Was mich wundert:  warum Sie ignoriert in Anführungszeichen setzen, und bei Klimakrise nicht.",2.0
"Wie erreichen wir #Wachstum und Vielfalt in einer endlichen Welt? 

Und wie kann der #Klimakrise aus mathematischer Sicht begegnet werden? 

Ein sehr lesenswerter und interessanter Ansatz als food for thought! 
 https://t.co/MMr2rILQoX",1.0
"@NiklasKorber Shiiiiit... das ist ja gruselig... wenn noch 4 Aktivisten und ein Hund mehr festgenommen worden wären, dann wäre es ein Omen. Jeder festgesetzte Aktivist löst ein Grad Temperaturerhöhung in Übersee aus! Ergo&gt; Am besten alle Aktivisten machen lassen und wir haben keine Klimakrise!",1.0
"@welt Ob man die Grünen unterstützt oder nicht, es sollte allen längst klar sei dass in Sachen Klimawandel viel zu langsam viel zu wenig passiert. Alle traditionellen Parteien versagen hier.",1.0
@LightCurves Das regelt der Klimawandel dann später,1.0
"@epa_nit @b_gerstorfer weil Sie eine Kämpfernatur ist und wichtige Themen (z.B. Pflege) weiterbringt,

@frauherr weil Sie ihr Ding durchzieht und Klimawandel sozial gerecht gestoppt werden muss

@AndiBabler weil er so links ist, wie ich die ganze Partei gerne hätte 🌹

Willi Mernyi, ...",1.0
"@23091980 @ArdillaCaliente @ralphruthe Was wurde denn kritisches geschönt? Frozelein unter Kollegen sollte man nicht auf die Goldwaage legen. Mittel für welchen Zweck, doch nicht gegen Klimawandel ankämpfen und heimlich Diktatorin werden? Was meinst du genau?",2.0
"@ende_gelaendle @Earthfriend21 Und dieser #LaschetVerhindern kapiert nicht warum die Klimakrise auf einmal ein weltweites Thema wurde...tja deswegen hängt man ja auch in einer ""Altpartei"" rum.",1.0
"@quarkswdr Ihr seid einfach geil! Normalerweise ist Klimawandel euer Dauerbrenner, aber wenn ein paar Millionäre in den Weltraum fliegen, werden die Windeln vor Freude feucht. Millionen Tonnen CO2 zum Spaß rausgeblasen. Jetzt aber schnell der nächste Coronabericht zum Mitfiebern! LOVE YOU!",1.0
"@MarcusWadsak Erderwärmung nur, weil @MarcusWadsak keine Wolken mehr machen will 😭.
#blameitontheweatherman",1.0
"Erst monatelang den „jungen Leuten“ erzählen, dass man für sie keinen Impfstoff hat und jetzt gönnerhaft Discomusik spendieren. Macht ihr das beim Klimawandel dann genauso, wenn wir verdursten, @CDUNRW_de ? https://t.co/RQdAHcwBpd",1.0
"Die #Klimakrise ist durch die Physik und die steigenden Temperaturen wissenschaftlich abgesichert.

Einfach das unwissenschaftlich dumme Elend der AfDeppen zu spiegeln und Blödsinn zu schreiben, ist immer sehr dumm.

Für Waldbrände brauchts:

1. Dürre.

2. Jemand mit 250-300°

/2",1.0
"@cdu_thueringen Liebe @cdu_thueringen, viel mehr wird uns alle der Klimawandel kosten, wenn wir nicht handeln und Eure Nähe zum rechten Spektrum, kostet unserem Bundesland zunehmend den Ruf in Gesamtdeutschland. Handelt endlich und macht nicht weiter Politik für die Alten!",1.0
„du bist einfach der klimawandel“,1.0
"Wir schreiben das Jahr 2222 &amp; 👽 erreichen die 🌎 nachdem sie sich aufgemacht hatten weil sie Radiowellen aufgefangen haben.
.
.
.
Und wundern sich das eine angeblich ""Intelligente"" Spezies so blöd sein konnte nichts gegen einen #Klimawandel der sie ausrotten würde zu unternehmen",1.0
"Bahnwoche 2021 - Anmeldung und Programm: Das vorläufige Programm zur Aktionswoche ""Mehr Bahn wagen - auch in Bayern! Mobilität zwischen Wahlfreiheit und Klimawandel"" ist nun verfügbar. Die Anmeldung ist für die Online-Verstaltungen ist ab sofort möglich.… https://t.co/NNxOOtJJDr",1.0
"➦ Erderwärmung: Wo der Klimawandel zum Rückzug zwingt

» Der Meeresspiegel steigt, erste Gebiete werden unbewohnbar. In den USA ziehen nun Ortschaften um, bevor es zu gefährlich wird. Ein Vorbild für viele andere, die folgen könnten?
 
  https://t.co/m5F05vjyRs",1.0
@PSHolstein @nbardEff Die Klimaanlagen beginnen zu laufen. Hat dann ähnliche Effekte wie im Winter. Klimawandel.😉,1.0
"@manaf12hassan Weil alles andere demnächst den Bach runter geht. Der Klimawandel wird schlimmere Konsequenzen für uns haben, als alle Corona-Lockdowns zusammen.",1.0
"Diese Pandemie ist vor allem eines: 

Eine Feuerprobe der Menschlichkeit.

Was bist Du bereit auf zu geben damit andere Menschen  überleben können?

Bitte beantworte dir mal diese Frage als Vorbereitung auf die gigantische Klimakrise die als nächstes kommt.",1.0
"@Fisch100Fisch @ZuckerZucker3 Ist doch schon vor Jahren Gastredner bei denen gewesen. Wer Die Basis für eher links hält, glaubt auch, dass es die Klimakrise nicht gibt oder dass Querdenker die wahren Intellektuellen sind.",1.0
"Satellitendaten der letzten Jahre zur #Klimaerwaermung könnten den #Klimawandel unterschätzt haben. Eine neue Studie hat Unregelmässigkeiten untersucht und postuliert eine leicht stärkere Erwärmung.
Jedes Zehntel-Grad ist wichtig. Rebelliere mit uns.
https://t.co/QU9dtSsDx3 https://t.co/NUBSmcYarG",1.0
"@LiliHoliday Die conclusion daraus sollte mMn halt kein „aber ihr seid auch nicht besser“ sein. Sondern eher dass die Idee, die Klimakrise könnte durch das Konsumverhalten des Individuums gelöst werden, einfach nicht zielführend ist. Braucht politische Lösungen.",1.0
"@Nessie43 @NameNr123 @twisser @ZDFheute Natürlich kommt das MAL vor aber es ist NICHT normal, dass wir jetzt ein Jahr nach dem anderen solche Hizzerekorde knacken. Das hat mit Wetter und dem Sommer nichts mehr zu tun sondern mit dem Klimawandel!",2.0
