,date,User,Tweet
10,2021-07-31 23:24:16+00:00,FFFLeipzig,"Eine Massenaktion von @Ende__Gelaende tut mehr fürs Klima als die GroKo in drei Jahren. 💨

Danke euch und solidarische Grüße in den hohen Norden! ✊🏾💚 https://t.co/k9XiRyOZ0e"
11,2021-07-31 23:23:55+00:00,Mystic_Fire,"@Domiane666 Du rettest dehydrierte Käfer vor dem Verdursten, setzt dich aktiv für das Klima ein - so langsam wirst du ein echter #Gutmensch #Vorbildsein #SaveTheWorld"
12,2021-07-31 23:21:15+00:00,Kalle3D,"@diebasispartei Wie steht ihr zum Klimawandel? Zur Rentenproblematik? Bildung? Vermögenssteuer? Mietpreisdeckel?
Seid ihr für oder gegen Europa? Den Euro?
Elektroautos? Tempolimit? Windkraft? Atomstrom?
Alles das ist für mein Leben wichtiger als die Impfung.
Für was steht ihr?"
13,2021-07-31 23:18:50+00:00,R_O_G_O_R,RTL: “Die Theorie der menschengemachten Erderwärmung ist … ein großer Schwindel” – ScienceFiles - https://t.co/BGoGnTcTQP
14,2021-07-31 23:11:38+00:00,Waldsterben5,"@rockefellaG Du meinst, um dann zu sagen, die Brände kommen vom Klima? Ja, möglich.

Mir hat neulich jmd. was von selbst entflammbaren Pflanzen erzählt. Aschwurz. Gibt's tatsächlich im mediterranen Raum. Dessen Öle entfachen sich bei heißem Wetter. Das aber nur off topic."
15,2021-07-31 23:10:30+00:00,bc_tcop,"@19Insomnia82 @DaniDarfs @nachtviola @Ende__Gelaende ""Ihr habt da gar nichts verloren. Protestiert gerne für das Klima, bin ich gerne dabei.
Aber Leichtsinn, derartige Gesetzesverstöße und aktive Gefährdung von Menschenleben disqualifiziert euch.
Du kannst dich auch nicht mitten auf ne Kreuzung legen und erwarten, dass alle umkehre"
16,2021-07-31 23:09:08+00:00,Vilstal,Waldbrände in der Türkei: Klimawandel oder Brandstiftung? https://t.co/42KtVH9bki
17,2021-07-31 23:04:16+00:00,MoSchaefer66,Hitzewellen: Klimawandel lässt Hitzerekorde Sprünge machen - Spektrum der Wissenschaft https://t.co/syx6ESkQQa
18,2021-07-31 23:03:47+00:00,emmiweberwebde1,"'„Wir werden Berlin überfluten mit Menschen“, sagt Bodo #Schiffmann,...'

Es ist zwar sehr trocken in Berlin, aber so eine #Querdenker Hochwasserkatastrophe wie auch sonst durch Klimawandel, braucht kein Mensch. Auch nicht in Berlin.
🦊🦉✌👇🤦‍♀️🤡

https://t.co/LiKWhn37e7"
19,2021-07-31 22:59:36+00:00,RolandLehmann71,@AnurChrik @BriHasselmann Der Mensch kann das Klima sehr wohl beeinflussen und er tut es auch. Öffnen Sie bitte Ihre Augen und verweigern Sie sich nicht länger der Realität.
20,2021-07-31 22:57:18+00:00,blabla_net,"„Es gibt nur einen Weg, um Kritik zu vermeiden: Nichts tun, nichts sagen, nicht sein.“Thunberg und Neubauer: Merkel muss sich dem Klima-Notfall stellen – WELT | @scoopit https://t.co/aEXB7rDNkS"
21,2021-07-31 22:57:05+00:00,Vilstal,Regen-Katastrophe : Der unappetitliche Klima-Bluff https://t.co/scgfNs1aUi via @welt
22,2021-07-31 22:55:09+00:00,DanijelJere,@thisisbernalat Wie retten das Klima nicht mehr. Schaltet Insta ab und vielleicht hilft das😂
23,2021-07-31 22:55:05+00:00,RudolfZwilling,"@ndlorenor2zorro @AlmanPrediger @MartinLuther55 @helgelindh Du schaust eindeutig zu viel Propaganda von ARD/ZDF und anderen MSM.
Der Klimawandel lässt sich von den Schwachsinn, den die Politik vor hat, nicht beeindrucken.
Eine Korrelation gibt es, aber verschwinden gering.
Und Daten sind manipulierbar(Hockey-Stick)"
24,2021-07-31 22:51:27+00:00,Seedex5,"@klima_kay @kkklawitter 1,6 Grad ist soweit ich weiß über 10 Jahre gemittelt, 2 Grad über 5."
25,2021-07-31 22:50:46+00:00,ThomeCampo,"Die gleichen Leute, die die Entvölkerung durch sogenannte Impfstoffe und den Klimawandel vorantreiben, tun auch DAS mit unserem Planeten. 

Sie sorgen sich wirklich um die Umwelt, nicht wahr? https://t.co/ptwR1griZo"
26,2021-07-31 22:50:27+00:00,Taro95156594,"@wegeheld @ZDF @klimaunion Find es immer wieder faszinierend wie die FDP Wähler bei solchen Umfragen antworten. Gibt einem schon zu denken wenn von denen 24% glauben der Klimawandel sei kein großes Problem, während es selbst bei den Unionswählern nur 10% sind."
27,2021-07-31 22:50:06+00:00,synektaeter_ru,hab Schock sie will keine Familie gründen wegen Erderwärmung
28,2021-07-31 22:49:31+00:00,synektaeter_ru,Junge ich sage ich will Familie später gründen und grüner lumpen sagt es wäre verantwortungslos weil wir in 20 jahren 2 Grad Erderwärmung haben
29,2021-07-31 22:47:17+00:00,ZoosoJoe,"@PeterSpiess2 @faznet Nix. Weil die Brände keine Koinzidenz des Klima sind. 
Sehr wohl aber topographische und bezüglich der Bodenbeschaffenheiten geologische Parameter die Inflammation begünstigen."
30,2021-07-31 22:46:42+00:00,BitBoxer75,"@juliavonbuttlar @MarkusTurm @ren___ito @fabthefoxx @HelpiiDelpii @Jan_NiklasKoe Nicht genutzt werden kann und durch das Mining mit Flared Gas wird auch das Klima geschützt da das CH4 in einer internen kontrollieren Verbrennung umgewandelt wird. Hier mal ein 🧵 der das Potential zeigt, das ganze #Bitcoin Netzwerk kann mit dieser Energieform betrieben  5/👇"
31,2021-07-31 22:45:10+00:00,Pufferfish420,"Laschet hat keine konkreten Kennzahlen auf den Tisch gelegt. Der gar keine Ahnung worum es geht bei CO2.

Der Papst wäre ein besserer Kanzler als Laschet, denn der Papst hat den Klimawandel auf dem Schirm.

Opus Dei Jünger in Laschets Gefolgschaft aber wohl noch nicht."
32,2021-07-31 22:43:15+00:00,2Unbekannt,"@HolgerEwald1 @jouwatch Gründliche Bodenversiegelung sorgt für gepflegte Hochwasser, für die dann das Klima wieder schuld ist...."
33,2021-07-31 22:42:28+00:00,mario_edelmann,Regen-Katastrophe : Der unappetitliche Klima-Bluff https://t.co/2k9mCIlGcR via @welt
34,2021-07-31 22:41:12+00:00,Pufferfish420,"@kattascha @BaharAslan_ Ja, aber die #CDU denkt doch, dass das und Lebensläufe wichtiger sind als #Klimawandel #Realpolitik."
35,2021-07-31 22:39:04+00:00,PeterSpiess2,@ZoosoJoe @faznet Nein. Was haben Geologen direkt mit dem Klima zu tun?
36,2021-07-31 22:38:11+00:00,goldbergpiefke,"Unsere #FridaysForFuture  Generation, die den Klimawandel verhindern will aber den eigenen Hof nicht sauber hält .... 👍 https://t.co/afgBLxxfRY"
37,2021-07-31 22:38:00+00:00,julia_verlinden,"Richtig!
Anstatt Klimakrise und Atomrisiko lieber Energiesparen und Erneuerbare - in Bürgerhand! https://t.co/BPKVZwk0Sb"
38,2021-07-31 22:37:39+00:00,antifa_nurse,"@HeroineNo Aha ""Wenn ihr was passiert(also wenn bullen drüber gefahren wären) wäre sie selbstschuld"" das nennt man bullengewalt gutheißen.
Werde euch liberalen nie verstehen
Der jetzige Zustand soll sich ändern aber ohne das sich was ändert.
Naja der Zug ist eh abgefahren was Klima angeht"
39,2021-07-31 22:36:56+00:00,HartwigKmmerle,@LGcommaI Man könnte ja auch während des Unterrichts fürs Klima hüpfen. 2 Fliegen mit einer Klappe. Vielleicht schaffen sie auch 7 auf einen Streich.
40,2021-07-31 22:35:33+00:00,Ver_Nunft,"@kattascha @sixtus Es liegt nicht an der Intelligenz, sondern der Organisation. 

Unser Handlungsrahmen wird von einem System vorgeben, das völlig ungeeignet ist für dieses Problem.
Damit wird es schwer effektiv den Klimawandel anzugehen.
Es braucht eine moderne Demokratie!"
41,2021-07-31 22:33:19+00:00,IamX1508,"@deutscherwolf @Dukeno_1 Mal Gibraltar fragen...... 😅😅😅
Ist es das Klima? Der Wind? War es nur NaCl?? Fragen über Fragen 🤡🤡🤡🤡"
42,2021-07-31 22:33:18+00:00,SeabergCom,"Juchhu! Der Klimawandel ist da, jetzt! 😁

#Klimawandel #Klimakatastrophe #Klimaschutz #KlimakriseISTjetzt #klimawahl #klimaatverandering #klimaunion https://t.co/85xgbX9hiX"
43,2021-07-31 22:24:58+00:00,Superin84,"@M_Reichardt_AfD Genau, die epidemische Lage und der Klimawandel sind genau so Erfindungen wie Rechtsradikale in der AfD. 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️ #noafd #NazisRaus"
44,2021-07-31 22:19:30+00:00,w4w4w,Temperaturen von mehr als 20 Grad: Grönländischer Eisschild schmilzt massiv ab #Klimakrise https://t.co/GBsTt2vQci via @derspiegel
45,2021-07-31 22:18:59+00:00,JohannesNormann,"@wjpOSH @Markus_Soeder Mit neuen AKWs kann man alten Atommüll verarbeiten. Und in Bayern gibt es nun mal kein geeignetes Endlager.

Ohne denn sinnlosen deutschen Ausstieg Deutschlands aus der Kernenergie, wären Kosten leichter zu kalkulieren. Und sinnvoller Klima und Umweltschutz kostet nun mal Geld."
46,2021-07-31 22:17:40+00:00,1yk0s,"@JJ_1809 Ich glaube es soll auch ein Wortspiel sein, denn es herrsche ein Klima des Rassismus hier."
47,2021-07-31 22:16:17+00:00,rrolee_,"@do_gross @KlimaAllianzCH @klimastreik @Fridays4future komisch ist, dass die Klimakrise als linkes Thema gilt, auch wegen dem @klimastreik (was dessen Leistung nicht mindert). Eigentlich sollten auch fortschrittliche wirtschaftliche Kreise (FDP) und z.B. kirchliche die Forderungen voll mittragen.."
48,2021-07-31 22:13:15+00:00,eulen_ei,"https://t.co/Gpf5ntaMRW Rekordtemperaturen gemessen
Grönlands Eis schmilzt dramatisch schnell
#Klimakrise"
49,2021-07-31 22:13:12+00:00,DeinEhreGenimmt,"Darf man den ganzen Bio Björns und Klima Katrins in #Brunsbuettel wünschen, dass ein Zug oder Schiff einfach mal durchzieht? #pinkerfinger #schwarzerfinger #mittelfinger 

Die Welt wäre schön ohne solche merkwürdigen, hobbylosen Menschen 😅"
50,2021-07-31 22:13:03+00:00,fabian_future,"@MDRAktuell Sagen Sie aber nicht, daß Waldbrände irgendwas mit Klimawandel zu tun haben. Sonst beleidigt Kachelmann wieder die Leute."
51,2021-07-31 22:11:01+00:00,raumplanungtv,"@Blumenkbel1 Klimawandel, Umweltverschmutzung, Bevölkerungsverteilung"
52,2021-07-31 22:09:31+00:00,DeinEhreGenimmt,@knobiwan1 Durchschnittlich dumm für Bio Björns und Klima Katrins
53,2021-07-31 22:09:08+00:00,Schupunkt,"@einundausatmen @Topfritte Und wenn man sie nicht aktiv dran hindert werden sie das auch machen, ist doch klar. Schnell noch ein paar Länder bereisen und ein paar Kreuzfahrten buchen, solange das noch geht, bevor das wegen Klima verboten wird."
54,2021-07-31 22:08:30+00:00,Maxvzimmermann,"@JJ_1809 Das Klima hat in Georgia eine KKK-Gruppierung mitgegründet und 1907 bei einer Lynchaktion mitgemacht. 

Örtlicher Sheriff hat damals 500$ Kopfgeld auf „das Klima“ ausgesetzt."
55,2021-07-31 22:07:51+00:00,carmondai76,"@SamuelGail @Cute_Lil_Owl @victorperli Sozialer Friede ist auch vollkommen überbewertet und lässt sich notfalls auch mittels Erpressung ( H4 ), Schlagstock, Pfefferspray herstellen. Politische Stabilität in d Klimakrise ist auch überflüssig. Die soziale Ungleichbehandlung wird euch noch böse auf die Füße fallen."
56,2021-07-31 22:05:49+00:00,HerrmannPierre,"@N_Schmid @Klima_Mahner Begleitaufwand. Frage mich zwar, wofür die 100.000+ in der Solarbranche Beschäftigten damals gebraucht wurden, die jetzt nicht mehr in der Solarbranche arbeiten, aber wenn es so ist, wie du sagst, dann bin ich ja beruhigt und warte auf die 1. Mio 300kW Flachdächer."
57,2021-07-31 22:04:41+00:00,MelloRepa,"@rahmstorf @BrunoBrozek @welt Wenn die ""Welt"" die #Erderwärmung derart herunterspielt, dann bedeutet das, dass die #CDU versucht, die #Erderwärmung herunterzuspielen.

Es kann nicht ewig so weiter gehen, dass die #reichenunion mit ihren mächtigen Freunden auf Kosten der Erde den Wohlstand der Reichen ausbaut."
58,2021-07-31 22:03:18+00:00,HerrmannPierre,"@N_Schmid @Klima_Mahner Angebote eingeholt, verglichen, vorgelegt, werden um Förderungen (ein Teil der Anreizstruktur vll) zu erhalten, ...
Zudem werden neben PV-Anlagen auch Speicher installiert, Heizungen ausgetauscht, Ladeanschlüsse gelegt werden und einiges mehr. Jeweils ebenfalls mit Vorlauf+ &gt;"
59,2021-07-31 22:02:27+00:00,jasper3107,"Abgebaggerte Dörfer können nicht mehr überflutet werden.
#Klimakrise #Kohleausstieg https://t.co/wRms64x9TU"
60,2021-07-31 22:01:39+00:00,AWunderhund,"@Ricarda_Lang @GYGeorg So sieht die Titanic-Szene also im #Klimawandel aus.

Erwartbar, aber trotzdem ein bisschen enttäuschend. Dieser Klimawandel bekommt von mir nur 2/5 Sternen. Einer ist für die Haltung angesichts einer unmöglichen Situation."
61,2021-07-31 22:00:57+00:00,HerrmannPierre,"@N_Schmid @Klima_Mahner sicher warten viele Ingenieure darauf PV-Anlagen zu installieren. Es ist ja nicht nur das Handwerk. Beratung braucht es auch vor jeder Anlage, es sollte statisch überprüft werden vorher, es müssen Anträge gestellt und Anmeldungen bearbeitet werden, Kredite beantragt, bewilligt, &gt;"
62,2021-07-31 22:00:52+00:00,FcbJens2,"Vor einer Woche haben wir noch gemütlich bei meiner Schwester in #Karlsruhe draußen auf der Terasse gesessen. Und heute? Zu Hause mit einer Wolldecke auf dem Sofa...🙄🙄🙄
#Sommer #Klima"
63,2021-07-31 21:59:59+00:00,tom_behrends,"Im Gegensatz zu den Folgen, die der #Klimawandel mit sich bringt, sind die Folgen für Wirtschaft + Gesellschaft schnell auf klimaneutrale Produktionsweisen umstellen zu müssen, unerheblich. Deshalb @Die_Gruenen wählen! #BTW2021"
64,2021-07-31 21:56:42+00:00,alltagsprolet,"@TomderZar @wienerlinien Aber, das geht nicht anders.die haben glaube ich alle grundsätzlich die gleiche Temperatur.
Wenn dann überall die Tür aufgeht, strömt tagsüber viel warme Luft ein.

Wenn Ubahn leer und keiner steigt ein und aus, kühlt die Klima deutlich besser"
65,2021-07-31 21:56:04+00:00,PTester666,"@phoenix_de @ArminLaschet Die Notsituation sind solche Politiker wie Sie, Herr Laschet, denn ohne die Bewegung der Grünen und der Kinder dieser Welt, würden Sie wahrscheinlich immer noch nichts hinsichtlich Klima- und Umweltschutz unternehmen.
https://t.co/arduuF02BL"
66,2021-07-31 21:55:12+00:00,Bu1305Ka,"Die Frau vom Exmann hat meiner Tochter Globuli gegeben,  weil sie von der Klima etwas verschnupft war. Als das Kind sagte, dass das Quatsch ist, meinte sie, das sei nur Kopfsache und man müsse ja nicht immer Chemie nutzen. 🙄 Kind meinte, sie hat dann lieber nix mehr gesagt 🙄🙄"
67,2021-07-31 21:52:25+00:00,ThaRocka,"@trebbianos @1000themen @BrigitteKlever @pffuzzi @AfDVerdachtfall Ich leugne nicht den Klimawandel, es wird nur extrem übertrieben, die angeblich krassen Folgen kann niemand nachweisen &amp; selbst, wenn wir uns extremst den A…. aufreißen, bringt das nix, wenn andere nicht nachlegen: China, USA, Indien…"
68,2021-07-31 21:50:44+00:00,Watch_Greens,"@hannes_elefant Ja, das Klima ist uns super wichtig. Daher ärgern wir uns auch so sehr über FFF, EndeGelände und andere. Weil sie Klimaschutz als Vehikel für ihre Ideologie nutzen, die wir nur ablehnen können. Dadurch schaffen sie unnötige Widerstände. Ohne diese würden wir mitdemonstrieren. https://t.co/UINp0CLKIF"
69,2021-07-31 21:50:19+00:00,DiroMcFly,"@el_jugo_de @Dekarldent ""Das Tempolimit hat einen geringen Effekt auf die Gesamt Co2-Emissionen, da muss anderes her um das Klima zu retten""

""Aber Tempolimit rettet auch Leben""

""Aber wir müssen erst das Klima retten, dann die Leben""

Ja gut...dann halt kein Tempolimit...wenn Klima, dann auch tot"
70,2021-07-31 21:48:06+00:00,alltagsprolet,"@wienerlinien be like:
15:00 32° gefühlt 50% Chance auf unklimatisierte Ubahn.
23:50, regen, 20°: 95% auf klimatisierte U-Bahn mit Klima auf Pinguinzucht gestellt"
71,2021-07-31 21:46:41+00:00,MUmwelt,"Der #Neoliberalismus vergiftet unsere Gedanken - 
bereiten wir ihm ein Ende, ehe er uns ein Ende bereitet. 
Mehr dazu: https://t.co/4A5qP8CKpH

#umwelt #umweltschutz #klima #ClimateEmergency #ClimateCrisis #climatechange #Klimakatastrophe #Müllentsorgung https://t.co/NtDqr9TMhC"
72,2021-07-31 21:46:33+00:00,Florian_Kraemer,"@ChrDorner @cicero_online Genauso wenig, wie ein Wettereignis direkt aus dem Klimawandel folgt, kann man umgekehrt sagen, dass dieses Wetterereignis vom Klimawandel quasi 100% abgekoppelt ist. Wetter ist halt nicht Klima. Und die ipcc Prognosen waren durchaus schon zu optimistisch."
73,2021-07-31 21:46:15+00:00,wolfgang_bartz,"@SPIEGEL_Top In #Brasilien schneit es und in #Grönland schmilzt das Eis.
Da ist ganz schön etwas in Bewegung geraten.
#Klimawandel"
74,2021-07-31 21:46:05+00:00,Armeseele1,"@christianxyz123 @AceKaiser @Kachelmann @aktuelle_stunde @rtl_aktuell @tagesschau @ntvde Oder ist es doch der Jenigen der seine Kippe in den Wald schmeisst der Brandstifter?  Falls ja, was hat das mit Klimawandel zu tun?"
75,2021-07-31 21:45:56+00:00,chris_breu,"@StefanKooths @aloa5 Ja. Wenn man von den Wirkungen von #Klimaschutz auf Klima abstrahiert, wirkt es natürlich kurzfristig eher so wie das berühmte keynesianische  Löcher buddeln und wieder zuschaufeln. Kann allerdings - je nach Theorie - kurzfristig dennoch BIP erhöhen und Arbeitslosigkeit abbauen."
76,2021-07-31 21:43:15+00:00,bedik76174887,"@Watch_Greens achso, bin grad kurz auf eure Aufmachung reingefallen, dachte ihr seit nur blind, aber ihr seit ja bewusst gegen Klimagerechtigkeit und Klimaschutz u versucht 'grüne' Politik zu diffamieren. Das in Zeiten der Klimakrise, puuh"
77,2021-07-31 21:41:52+00:00,Nino_Pandari,"@19Insomnia82 @redflamingo7 Ich dachte du hast einen Eid abgelegt Menschenleben zu retten ? Dann müsst du übrigens, auch bei den Aktionen sein und das Klima retten. Den Klimazerstörung tötet Menschen. Wenn wir schon so kleinlich sind."
78,2021-07-31 21:41:45+00:00,Binar10101,@hubertus_knabe @Die_Gruenen Scheiss auf den Naturschutz. Hauptsache das Klima wird gerettet
79,2021-07-31 21:41:17+00:00,Rsnmdnss,@HelmutHorstman1 @faznet Achso? Also als ich zuletzt Feuer im Kamin gemacht habe ging das mit trockenem Holz viel einfacher. Warum sind Wälder denn zunehmend trockener? Steile These: Klimawandel. Ich wette auf eine dumme Antwort in 3... 2... 1...
80,2021-07-31 21:41:10+00:00,kainiebert,"@N_Heisterhagen Der Stopp der Klimakrise ist die Zukunft der Wirtschaft. Wer jetzt investiert, gewinnt. Wer’s nicht tut, verliert."
81,2021-07-31 21:40:31+00:00,DdferRadler,Wir wären schon längst durchgefallen 😎 #Klimakrise https://t.co/lvfQ9kplBJ
82,2021-07-31 21:40:15+00:00,Stefanovicz2080,"@DorotheaHoffm15 @cdufraktion_LSA @SandraHietel Gerade jetzt kann man nicht oft genug darauf hinweisen, dass d #biologische Vielfalt durch d Ausbreitung von Waschbären und anderer invasiven Tier- /Pflanzenarten  gefährdet ist. Schauen Sie sich in der Schulferienzeit doch mal um. Und der #Klimawandel verstärkt die Ausbreitung."
83,2021-07-31 21:39:52+00:00,fljan,"@jonas_kampus @klimastreik @M_Haefliger @Elisabeth_S_S @Knutti_ETH @RetoNause Klimajugendliche setzen sich also nur für Klima(real)politik ein, wenn sie dafür (gut) bezahlt werden? Interessant. Jetzt haben sich halt die Öllobby und die SVP die Lorbeeren für euer (Nichts-)Tun geholt. 🤷🏻‍♂️ Muss sich toll anfühlen…"
84,2021-07-31 21:39:49+00:00,GvB1480,"@rahmstorf Erderwärmung stoppen?

Man fasst es nicht."
85,2021-07-31 21:39:07+00:00,FridaysBad,"@ForErfurt Die @tagesschau bespricht übrigens in keinem der Beiträge die #Klimakrise als Ursache (jedenfalls in der heutigen 20-Uhr Ausgabe)
Auch deshalb @KlimaVorAcht!"
86,2021-07-31 21:38:05+00:00,Klibue_Hannover,"In der @tagesschau am Samstag: Außer Trumps Steuern und Olympia nur Klima- und Umweltkatastrophen. Ja, Covid-19 zählt auch dazu. Die #Erderwärmung kann die Übertragung von Krankheitserregern von Tieren auf Menschen nachweislich beschleunigen.
#ActNow

https://t.co/SL4nUMNHOR"
87,2021-07-31 21:38:04+00:00,Rsnmdnss,"@MaWii1182 @DanteImposante @faznet Ist so nicht mal richtig, auch bevor es Menschen gab, gab es schon Waldbrand.
Und ohne Klimawandel wäre der Wald nicht so trocken. Wo genau ist also der Punkt in Ihrer Argumentation? Den Klimawandel kann man aus dem Zusammenhang nicht rausargumentieren."
88,2021-07-31 21:38:04+00:00,lufabom,"Es reicht...

Widerstand ist die einzige Möglichkeit den Klimawandel zu stoppen..

Die Regierung hat 16 Jahre Zeit gehabt..

#EndeGelaende
#ökozid
#Klimaschutz
#Umweltschutz
#Solidarität
#Widerstand
#CO2
#Verkehrswende
#tempo130
#kohlestoppen
#nofracking
#GASistkeinealternative https://t.co/0lQfeGMeP5"
89,2021-07-31 21:38:00+00:00,mycomfor,#CO2-Fußabdruck: Wie ein PR-Trick von den Machern des #Klimawandel|s ablenkt https://t.co/iGthLkj2ag
90,2021-07-31 21:37:52+00:00,lazid1957,"@M_Reichardt_AfD Ihr ewig gestrigen werdet dies Land jedenfalls nicht in die Finger bekommen. 
Dazu ist eure Truppe einfach zu rassistisch, zu völkisch nationalistisch,
zu frauenfeindlich, zu verfassungswidrig, zu Klima- und umweltfeindlich.

Ihr seid wie saure Milch."
91,2021-07-31 21:36:24+00:00,artjumpde,«Klima der Straflosigkeit» in Malta: Untersuchung stellt Mitschuld der Regierung an der Ermordung der Journalistin Daphne Caruana Galizia fest https://t.co/yQ0B7Aapgn via @NZZ
92,2021-07-31 21:33:42+00:00,chaosqueen64,"@FunlerW @RoninRebell @reinholdmdb So ähnlich dachte ich in Frankfurt auch und wählte die FW. Jetzt regiert hier Grün mit Rot, den gelben und Volt. Es fängt schon an, nur Autofrei und Klima. Sicherheit gibt's nicht und am liebsten alle Flüchtlinge aus Moria aufnehmen."
93,2021-07-31 21:33:27+00:00,WernerRettberg,"GRÜNEN-Chef pöbelt Reporter an: „Spritze in Arm!“ https://t.co/YVjE7xyJro via @YouTube  Grüne wollen mehr Migration, Geburtenwahnsinn, mehr Überbevölkerung, gleichzeitig der deutschen Frau aus Klima Gründen, das Kinder bekommen ausgeredet werden, dafür Arbeitslager, Abschaffung?"
94,2021-07-31 21:30:39+00:00,drunkonhugs,"@weberju5 das ist nicht mein Argument. Aber wenn du mit Lebenskosten anfängst und dabei die Katastrophalen kosten die durch den Klimawandel entstehen nichtmal erwähnst naja.

ok byeee &lt;3"
95,2021-07-31 21:29:09+00:00,hangwithphil,Schön das wir das Thema impfen in Deutschland mit ner Bratwurst lösen. Mal schauen ob das dann mit dem Thema Klima und Kopfsalat auch klappt.
96,2021-07-31 21:29:01+00:00,lockenralf,@JuliusBetschka Soviel hierzu. Können wir jetzt bitte zu den relevanten Themen wie Bekämpfung der #Klimakrise und soziale #Gerechtigkeit kommen? Welche:r Kandidat:in bietet da echte Lösungen?
97,2021-07-31 21:28:54+00:00,glubschi0109,"@RickGPunkt Dann verstehe ich aber auch, dass Trump gesagt hat, dass es keinen Klimawandel gibt. Der ging ja Hand in Hand mit der Waffenlobby, hätte Trump eine weitere Amtszeit gehabt, hätten er und seine Homies den Klimawandel aufgehalten"
98,2021-07-31 21:28:51+00:00,JaroslavaKolenz,@Wasa17205976 @Markus_Brummer @vroniixi Das Buch von Klaus Schwab Covid-19:The Great Reset habe ich schon gelesen.Grauenhaft und von mind 2013 die Pandemie geplant.Die 4.Industrielle Revolution liegt vor mir  noch.Vieleicht dort finde ich die Antwort auf Klima-Terror.
99,2021-07-31 21:27:20+00:00,HaegerWickinger,@Beatrix_vStorch Nur der Grüne kann das Klima und den Regenwald in Brasilien retten. Andere Abgeordnete fressen sich durch das Buffett . Des grünen Spiegelbild
100,2021-07-31 21:27:05+00:00,Quizbold,@RalfSchumache17 @markrudolph2701 Aber das Klima... Diese schöne Ausrede wird sich die Politik nicht mehr nehmen lassen
101,2021-07-31 21:26:28+00:00,HummerUnd,"@Dreed666 @WELTAMSONNTAG @welt @AlexanderDinger Doch. Wir brauchen 10 km/h in der Stadt.
Rettet leben und schützt das Klima."
102,2021-07-31 21:25:07+00:00,Rsnmdnss,"@00pussycat @Karl_Lauterbach Denken Sie es braucht eine Retter? So schlecht läuft es ja zum Glück nicht. Was gebraucht wird, sind soziale Antworten auf aktuelle Probleme wie zB den Klimawandel oder die Steuerpolitik. Und da sehe ich die SPD in der besten Position. Stimmen Sie mich gerne um."
103,2021-07-31 21:23:56+00:00,danielRndmNmbrs,@RolandTichy Also ist der Klimawandel doch für manche Brände verantwortlich.
104,2021-07-31 21:23:17+00:00,Feststelltaste1,Wir machen COVID-19 mit ner Bratwurst platt. Für den Klimawandel brauchen wir mindestens ein Schnitzel.
